timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality,comp_vx,comp_vy,comp_px,comp_py
3117,-0.002,-0.008,-1.005,0.1,0.4,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,116,-0.0007,0.0001,-0.0000,0.0000
3176,-0.004,-0.006,-1.004,0.3,-0.0,-0.0,0.0000,0.0000,-0.0014,0.0014,1,-1,110,122,-0.0239,0.0245,-0.0015,0.0015
3228,0.005,0.008,-0.995,0.1,-0.0,-0.0,0.0000,-1.4234,0.0000,-0.0014,-1,2,110,123,0.0275,-0.0547,-0.0000,-0.0014
3280,0.003,-0.000,-1.001,-0.2,0.4,0.1,0.0000,1.4234,0.0000,0.0000,0,-1,110,117,-0.0008,0.0269,-0.0001,0.0000
3332,-0.000,0.002,-1.005,0.9,-0.1,0.1,1.4234,-1.4234,0.0000,0.0000,0,0,110,126,0.0001,0.0018,-0.0001,0.0001
3384,-0.005,0.005,-1.002,-0.3,0.2,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,126,-0.0004,-0.0005,-0.0001,0.0001
3436,0.003,-0.004,-1.005,1.8,-0.5,-0.0,0.0000,0.0000,-0.0014,0.0014,1,-1,110,114,-0.0264,0.0309,-0.0015,0.0017
3487,0.004,0.017,-1.001,2.4,0.1,-0.0,0.0000,0.0000,-0.0027,0.0028,1,-1,100,126,-0.0256,0.0296,-0.0028,0.0032
3538,-0.000,-0.002,-1.002,5.2,0.5,0.7,0.0000,0.0000,-0.0001,0.0003,-2,2,100,129,0.0498,-0.0417,-0.0002,0.0011
3589,-0.024,-0.008,-0.991,-2.2,-1.1,4.3,-1.2940,1.2940,-0.0014,0.0003,1,0,100,116,-0.0234,-0.0039,-0.0014,0.0009
3641,-0.005,0.046,-1.012,-2.8,-1.8,5.2,0.0000,0.0000,-0.0014,0.0016,0,-1,100,120,0.0031,0.0200,-0.0013,0.0019
3692,0.022,0.018,-0.982,0.8,-0.7,1.4,0.0000,0.0000,0.0000,-0.0027,-1,3,110,129,0.0293,-0.0821,0.0002,-0.0023
3743,0.013,0.031,-1.010,0.3,1.0,-0.9,0.0000,0.0000,0.0000,-0.0027,0,0,110,128,-0.0019,0.0006,0.0001,-0.0022
3794,-0.005,0.017,-0.997,1.9,-0.4,-1.6,-1.4234,0.0000,-0.0028,-0.0041,2,1,110,118,-0.0551,-0.0243,-0.0027,-0.0035
3845,0.004,0.019,-1.010,3.1,-1.2,-1.0,0.0000,-1.4234,-0.0043,-0.0084,1,3,110,126,-0.0255,-0.0777,-0.0040,-0.0074
3896,-0.007,0.015,-1.016,-0.3,0.7,-2.6,-1.4234,0.0000,-0.0043,-0.0113,0,2,110,128,-0.0014,-0.0566,-0.0040,-0.0103
3947,-0.024,0.022,-0.995,2.3,-0.5,-2.3,0.0000,-2.8468,-0.0071,-0.0184,2,5,110,114,-0.0548,-0.1350,-0.0068,-0.0172
3998,-0.002,0.022,-1.002,1.3,0.7,0.4,0.0000,-1.4234,-0.0057,-0.0298,-1,8,110,133,0.0265,-0.2209,-0.0055,-0.0285
4049,-0.013,-0.004,-0.977,-1.0,0.9,-1.6,0.0000,0.0000,-0.0057,-0.0326,0,2,110,129,-0.0017,-0.0577,-0.0056,-0.0314
4100,-0.002,-0.033,-1.022,1.3,-0.8,-0.7,0.0000,1.2940,-0.0044,-0.0300,-1,-2,100,120,0.0268,0.0530,-0.0042,-0.0287
4151,-0.017,-0.012,-1.009,0.1,-1.0,2.2,0.0000,0.0000,-0.0044,-0.0184,0,-9,110,126,0.0019,0.2514,-0.0041,-0.0159
4202,-0.002,0.014,-0.996,-0.1,0.4,3.2,0.0000,1.4234,0.0013,-0.0070,-4,-8,110,126,0.1109,0.2231,0.0015,-0.0045
4253,0.002,-0.014,-0.996,0.7,1.1,3.3,0.0000,0.0000,0.0013,0.0001,0,-5,110,134,-0.0022,0.1409,0.0014,0.0027
4304,0.001,-0.020,-0.986,-1.4,1.6,2.5,0.0000,-2.5880,0.0013,-0.0217,0,16,100,130,-0.0029,-0.4085,0.0013,-0.0182
4355,-0.001,-0.008,-1.004,-0.7,0.7,2.3,0.0000,0.0000,0.0039,-0.0308,-2,7,100,118,0.0496,-0.1788,0.0038,-0.0273
