timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,-0.004,-0.003,-1.003,0.6,-2.1,0.4,0.0000,0.0000,-0.0013,0.0000,0,0,730,54
3170,0.002,-0.009,-1.002,0.5,-2.3,0.5,0.0000,0.0000,-0.0013,0.0013,0,0,730,67
3221,-0.001,0.003,-1.001,0.3,-1.3,-0.2,0.0000,0.0000,-0.0013,0.0026,0,0,730,56
3272,-0.080,-0.036,-1.025,0.1,-4.6,0.8,0.0000,1.2672,-0.0013,0.0026,0,-1,720,69
3323,-0.022,-0.023,-1.003,0.1,0.5,-0.3,0.0000,0.0000,-0.0000,0.0013,0,0,720,68
3374,0.026,0.015,-0.978,0.3,0.2,0.4,0.0000,0.0000,-0.0000,0.0013,0,0,720,60
3425,-0.020,0.012,-1.001,-0.4,-1.5,0.8,0.0000,0.0000,-0.0000,0.0026,0,0,720,61
3476,-0.016,0.044,-0.978,-0.6,-2.7,-0.1,0.0000,0.0000,0.0012,0.0026,0,0,720,70
3527,-0.058,0.007,-1.016,-1.4,-3.7,-0.4,0.0000,0.0000,0.0038,0.0000,0,0,720,73
3578,-0.007,-0.004,-1.007,-0.5,9.7,-2.2,0.0000,0.0000,0.0038,0.0013,0,0,720,62
3629,0.008,0.006,-0.985,-1.3,5.6,-0.4,0.0000,-1.2672,0.0038,0.0000,0,1,720,61
3680,-0.001,0.001,-0.998,-0.1,-0.5,0.1,0.0000,0.0000,0.0038,0.0000,0,0,720,75
3731,0.007,-0.003,-0.993,0.4,3.9,-0.3,0.0000,0.0000,0.0038,0.0000,0,0,720,60
3782,-0.017,-0.002,-1.021,0.9,4.3,-0.1,0.0000,0.0000,0.0038,0.0000,0,0,720,67
3833,-0.007,-0.010,-1.011,0.5,8.8,0.1,0.0000,0.0000,0.0051,-0.0012,0,0,720,65
3884,-0.003,0.001,-1.019,-0.1,10.6,-0.5,-1.2672,0.0000,0.0012,0.0013,1,0,720,62
3935,0.060,-0.017,-0.999,0.5,17.3,-1.2,0.0000,0.0000,-0.0000,0.0000,0,0,720,70
3986,0.064,-0.002,-0.971,0.8,4.1,0.4,0.0000,0.0000,-0.0000,0.0000,0,0,720,68
4037,0.060,-0.008,-0.986,-0.5,-2.9,-0.2,0.0000,0.0000,-0.0013,0.0026,0,0,720,57
4088,0.041,-0.002,-0.991,-1.0,-4.8,-0.1,0.0000,0.0000,-0.0026,0.0013,0,0,720,61
4139,0.016,0.018,-0.990,-0.1,-4.4,-0.2,-1.2672,0.0000,-0.0051,0.0013,1,0,720,66
4190,0.025,-0.009,-1.002,0.4,-3.0,0.4,-1.2672,0.0000,-0.0140,0.0000,1,0,720,62
4241,0.028,0.001,-0.999,0.6,-4.0,0.3,0.0000,0.0000,-0.0165,0.0000,0,0,730,67
