timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,0.003,-0.003,-1.001,-0.5,0.2,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,135
3170,0.006,0.000,-0.997,-0.2,0.6,-0.2,0.0000,0.0000,0.0000,0.0000,0,0,110,134
3221,-0.003,-0.002,-0.999,0.2,-0.1,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,140
3272,0.001,-0.003,-0.999,0.2,-0.2,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,138
3323,0.000,-0.004,-0.998,-0.0,0.1,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,141
3374,0.000,0.003,-0.998,0.4,0.2,0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,137
3425,0.001,0.003,-0.998,0.9,0.0,0.1,0.0000,0.0000,0.0000,0.0002,0,-1,110,133
3476,-0.002,0.011,-1.002,0.7,0.0,0.1,0.0000,0.0000,0.0000,0.0002,0,0,110,140
3527,-0.002,-0.023,-1.004,0.5,-0.1,0.1,0.0000,0.0000,0.0000,0.0002,0,0,110,135
3578,0.007,0.011,-0.998,2.0,0.2,0.3,0.0000,-0.1936,0.0000,0.0002,0,0,110,141
3629,0.009,-0.003,-1.013,2.9,-0.4,0.3,0.0000,0.0000,0.0000,0.0002,0,0,110,138
3680,0.002,0.041,-0.996,-0.7,-0.5,-3.4,0.0000,0.0000,0.0000,0.0002,0,0,110,142
3731,-0.016,0.025,-1.005,0.3,-0.5,-4.7,0.0000,0.0000,0.0000,0.0002,0,0,110,138
3782,-0.000,0.031,-1.006,0.9,0.4,-1.9,0.0000,0.0000,0.0000,0.0002,0,0,110,135
3833,-0.005,-0.007,-1.050,2.8,-0.4,0.0,0.0000,0.0000,0.0000,0.0002,0,0,110,135
3884,-0.018,0.017,-0.993,1.8,0.2,2.7,0.0000,0.0000,0.0000,0.0002,0,0,110,133
3935,-0.016,0.049,-0.982,1.0,-0.2,-0.8,0.0000,0.0000,0.0000,0.0002,0,0,110,136
3986,0.008,0.045,-0.976,0.0,-0.4,1.6,0.0000,-0.1936,0.0000,-0.0004,0,3,110,143
4037,0.041,0.030,-0.982,-0.8,1.3,-1.9,0.0000,0.0000,-0.0002,-0.0010,1,3,110,139
4088,-0.003,0.014,-1.000,-0.2,0.1,-0.6,0.0000,-0.5808,-0.0004,-0.0025,1,8,110,135
4139,-0.007,0.020,-0.985,-1.0,-0.2,0.2,0.0000,0.5808,-0.0004,-0.0023,0,-1,110,133
4190,0.006,0.000,-0.978,-1.8,-0.4,3.0,-0.1936,0.0000,-0.0006,-0.0021,1,-1,110,137
4241,-0.013,0.020,-0.983,-0.8,0.1,1.2,0.0000,0.0000,-0.0006,-0.0021,0,0,110,132
4292,-0.006,0.011,-1.012,-1.0,-0.5,3.4,0.0000,-0.3872,-0.0008,-0.0031,1,5,110,135
4343,-0.003,-0.018,-1.001,-1.4,0.3,1.8,0.0000,0.0000,-0.0008,-0.0056,0,13,110,134
4394,-0.005,-0.017,-0.998,-0.9,-0.0,-0.0,0.0000,-0.1936,-0.0006,-0.0058,-1,1,110,129
4445,-0.010,-0.041,-1.012,-0.3,-0.5,0.2,0.0000,-0.1936,-0.0004,-0.0056,-1,-1,110,123
4496,-0.003,0.011,-0.990,-0.5,-0.5,1.4,0.0000,0.3872,-0.0004,-0.0050,0,-3,110,132
4548,-0.005,-0.005,-1.026,0.1,0.0,1.3,0.0000,0.1936,-0.0006,-0.0046,1,-2,110,127
4600,-0.008,-0.008,-0.999,0.1,0.2,2.3,0.0000,0.0000,-0.0006,-0.0045,0,-1,110,127
4652,-0.001,0.007,-0.990,-0.7,-0.1,0.4,0.0000,-0.1936,-0.0010,-0.0046,2,1,110,134
4704,-0.003,0.010,-0.963,-1.1,0.1,-0.1,0.0000,0.0000,-0.0008,-0.0048,-1,1,110,130
4756,-0.004,-0.021,-1.006,-0.1,-0.5,-1.5,0.0000,-0.3872,-0.0008,-0.0060,0,6,110,129
4808,0.010,-0.011,-0.986,0.1,-0.3,-3.9,0.0000,0.5808,-0.0002,-0.0045,-3,-8,110,136
4860,-0.032,-0.010,-0.993,-1.1,-1.2,-3.6,0.0000,-0.5808,-0.0002,-0.0052,0,4,110,132
4912,0.003,-0.012,-0.985,0.3,0.3,-2.4,0.0000,-0.1936,-0.0002,-0.0060,0,4,110,135
4964,0.001,-0.007,-1.009,0.2,0.3,1.9,0.0000,0.0000,-0.0002,-0.0062,0,1,110,125
5016,-0.002,-0.042,-1.001,0.5,-0.2,0.8,0.0000,0.3872,0.0000,-0.0052,-1,-5,110,124
5068,-0.003,-0.009,-0.989,-0.0,-0.1,-1.3,0.0000,0.0000,-0.0004,-0.0060,2,4,110,126
5120,-0.005,-0.054,-1.022,0.7,-0.1,-1.0,0.3872,1.3552,0.0006,-0.0014,-5,-24,110,129
5172,-0.009,-0.046,-1.007,-2.1,-0.2,-0.1,0.0000,-0.1936,0.0006,-0.0015,0,1,110,128
5224,-0.001,0.007,-1.002,-2.1,-0.2,-0.0,0.0000,0.3872,0.0006,-0.0010,0,-3,110,137
5276,-0.004,0.010,-1.002,-1.0,0.2,-0.1,0.0000,0.0000,0.0006,-0.0002,0,-4,110,128
5328,-0.007,-0.021,-1.000,-0.3,0.2,-0.2,0.0000,0.0000,0.0006,-0.0002,0,0,110,144
5379,-0.000,0.013,-1.006,0.0,0.2,-0.1,0.0000,0.0000,0.0004,-0.0002,1,0,110,128
5430,0.010,-0.051,-1.009,-2.9,1.6,-0.5,0.0000,0.0000,0.0004,-0.0002,0,0,110,132
5482,-0.159,0.172,-0.952,-2.8,-1.2,-2.8,0.0000,0.0000,0.0004,-0.0002,0,0,110,143
5533,0.047,-0.104,-1.000,8.8,-2.8,0.4,0.0000,0.0000,0.0004,-0.0002,0,0,110,145
5584,0.034,-0.062,-1.001,-4.7,1.7,-0.1,0.0000,0.0000,0.0004,-0.0002,0,0,110,131
5635,0.006,0.053,-0.996,-0.2,0.5,0.0,0.0000,0.0000,0.0004,-0.0002,0,0,110,139
5686,-0.002,-0.045,-1.005,2.7,-0.2,0.1,0.0000,0.0000,0.0004,-0.0002,0,0,110,142
5738,0.001,0.011,-0.997,-2.8,-0.0,-0.1,0.0000,0.0000,0.0004,-0.0002,0,0,110,133
5790,0.002,0.004,-1.000,1.8,-0.2,0.1,0.0000,0.0000,0.0004,-0.0004,0,1,110,136
5842,-0.000,-0.020,-1.009,-0.7,0.3,0.0,0.0000,0.0000,0.0004,-0.0004,0,0,110,136
5893,-0.002,0.014,-0.996,-0.0,0.0,-0.1,0.0000,0.0000,0.0002,-0.0004,1,0,110,134
5944,0.001,-0.014,-0.999,0.6,0.1,0.0,0.0000,0.0000,0.0004,-0.0004,-1,0,110,138
5995,-0.001,0.003,-0.999,-0.6,0.0,-0.0,0.0000,0.0000,0.0004,-0.0004,0,0,110,141
6046,-0.002,-0.005,-0.993,0.6,-0.1,-0.0,0.0000,0.0000,0.0004,-0.0004,0,0,110,143
6097,-0.000,-0.005,-1.003,-0.3,0.1,0.0,0.0000,0.0000,0.0004,-0.0004,0,0,110,133
6148,-0.004,0.002,-0.999,0.2,-0.1,0.1,0.0000,0.0000,0.0004,-0.0004,0,0,110,133
6199,-0.001,-0.007,-1.000,0.0,-0.0,0.1,0.0000,0.0000,0.0004,-0.0004,0,0,110,140
6250,0.000,-0.003,-0.995,0.1,-0.0,0.1,0.0000,0.0000,0.0004,-0.0004,0,0,110,137
6301,0.003,-0.007,-0.999,0.1,-0.0,-0.0,0.0000,0.0000,0.0004,-0.0004,0,0,110,144
6352,0.002,0.002,-0.999,-0.1,0.0,-0.1,0.0000,0.0000,0.0004,-0.0004,0,0,110,141
6403,-0.008,-0.004,-1.008,0.2,0.1,0.1,0.0000,0.0000,0.0004,-0.0004,0,0,110,140
6454,0.002,-0.007,-0.997,0.2,0.0,-0.0,0.0000,0.1936,0.0004,-0.0002,0,-1,110,137
6505,-0.001,-0.004,-0.998,-0.0,-0.1,0.0,0.0000,0.0000,0.0004,-0.0002,0,0,110,142
6556,0.004,-0.005,-1.006,0.0,0.1,0.0,0.0000,0.0000,0.0004,-0.0002,0,0,110,128
6607,0.001,-0.006,-0.999,-0.1,0.0,-0.0,0.0000,0.0000,0.0004,-0.0002,0,0,110,132
6658,0.002,-0.006,-0.998,0.1,-0.0,0.0,0.0000,0.0000,0.0004,-0.0002,0,0,110,138
