timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality,comp_vx,comp_vy,comp_px,comp_py
3117,-0.007,0.004,-0.998,-2.2,0.9,-0.1,0.0000,0.0000,0.0013,0.0000,-1,0,100,118,0.0242,-0.0038,0.0012,-0.0002
3176,-0.018,-0.000,-1.001,-1.4,0.1,-0.1,0.0000,0.0000,0.0013,0.0000,0,0,110,126,-0.0002,-0.0028,0.0012,-0.0004
3228,0.001,0.022,-0.997,0.1,-0.4,0.2,0.0000,0.0000,0.0013,0.0000,0,0,110,128,0.0007,0.0002,0.0012,-0.0003
3279,-0.004,0.012,-1.002,0.4,-0.1,-0.1,0.0000,0.0000,0.0013,0.0000,0,0,110,117,0.0002,0.0008,0.0012,-0.0003
3330,-0.007,0.007,-1.002,0.3,0.2,-0.1,0.0000,0.0000,0.0013,0.0000,0,0,110,125,-0.0004,0.0006,0.0012,-0.0003
3381,-0.005,-0.001,-0.997,-1.3,0.0,-0.3,0.0000,-1.4234,0.0027,-0.0014,-1,1,110,129,0.0278,-0.0304,0.0026,-0.0018
3433,-0.001,-0.019,-1.003,-2.1,-0.5,-0.6,0.0000,0.0000,0.0027,-0.0014,0,0,110,122,0.0010,-0.0040,0.0027,-0.0020
3484,0.003,0.047,-0.999,-1.0,-0.3,-0.3,0.0000,0.0000,0.0027,-0.0028,0,1,110,120,0.0005,-0.0298,0.0027,-0.0036
3535,-0.000,0.009,-0.998,0.5,0.9,0.1,0.0000,0.0000,0.0027,-0.0014,0,-1,110,119,-0.0017,0.0290,0.0026,-0.0021
3586,-0.003,0.017,-0.999,1.2,0.1,0.0,0.0000,0.0000,0.0027,-0.0014,0,0,110,120,-0.0002,0.0023,0.0026,-0.0020
3638,-0.001,-0.004,-1.000,1.6,0.2,-0.1,0.0000,0.0000,0.0027,-0.0014,0,0,110,119,-0.0004,0.0030,0.0026,-0.0018
3689,0.005,-0.001,-0.997,3.3,-0.6,-0.1,0.0000,-1.4234,0.0027,-0.0028,0,1,110,123,0.0012,-0.0215,0.0027,-0.0029
