timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,0.013,0.005,-0.998,-0.0,0.4,-0.1,0.0000,-0.1936,0.0000,-0.0004,0,2,110,118
3170,-0.004,0.000,-0.998,0.1,-0.1,0.0,0.0000,0.0000,0.0000,-0.0002,0,-1,110,122
3221,-0.000,-0.011,-0.998,0.1,-0.3,0.1,0.0000,0.0000,0.0000,-0.0000,0,-1,100,113
3272,0.006,0.013,-1.001,-0.1,0.1,0.1,0.0000,0.0000,0.0000,-0.0002,0,1,100,125
3323,0.022,0.007,-1.004,1.5,0.7,-0.3,0.0000,0.0000,-0.0002,-0.0004,1,1,100,119
3374,-0.012,-0.016,-0.999,-0.3,0.5,-0.1,0.0000,0.0000,-0.0002,0.0002,0,-3,110,120
3425,0.003,0.016,-0.995,-0.8,-0.9,-0.0,0.0000,0.0000,-0.0002,0.0004,0,-1,110,122
3476,0.006,-0.006,-1.000,0.7,-0.5,0.1,0.0000,0.0000,-0.0002,-0.0000,0,2,100,121
3527,-0.009,0.022,-1.003,-1.7,-0.1,-0.1,0.0000,0.0000,-0.0004,0.0002,1,-1,110,123
3578,-0.004,-0.043,-1.002,0.7,-0.0,-0.1,0.0000,0.0000,-0.0004,0.0004,0,-1,110,123
3629,-0.012,0.016,-1.005,-1.6,-0.5,-0.1,0.0000,0.0000,-0.0004,0.0002,0,1,110,122
3680,0.006,0.009,-1.001,0.3,-0.3,0.0,0.0000,0.0000,-0.0004,0.0004,0,-1,110,115
3731,-0.003,-0.002,-1.000,1.3,0.0,0.1,0.0000,0.0000,-0.0004,0.0005,0,-1,110,124
3782,0.007,0.029,-1.008,-1.9,0.9,-0.2,0.0000,0.0000,-0.0004,0.0004,0,1,110,123
3833,-0.006,-0.004,-1.001,1.5,-0.4,0.2,0.0000,0.1936,-0.0004,0.0004,0,0,110,109
3884,-0.005,0.002,-0.997,0.2,-0.3,0.0,0.0000,-0.1760,-0.0004,0.0005,0,-1,100,116
