timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality,comp_vx,comp_vy,comp_px,comp_py
3117,0.003,0.007,-0.996,0.6,-0.1,0.0,0.0000,0.0000,0.0000,0.0004,0,-2,110,118,0.0002,0.0090,0.0000,0.0004
3176,0.003,0.008,-0.994,1.4,-0.1,0.0,-0.1936,0.0000,-0.0002,0.0004,1,0,110,127,-0.0030,0.0027,-0.0002,0.0006
3228,-0.001,-0.003,-0.997,1.3,-0.4,0.0,0.0000,0.0000,-0.0002,0.0004,0,0,110,127,0.0008,0.0024,-0.0001,0.0007
3280,-0.000,0.003,-1.002,0.7,0.6,0.1,0.0000,0.0000,-0.0004,0.0002,1,1,110,120,-0.0048,-0.0024,-0.0004,0.0006
3332,-0.007,-0.006,-0.998,1.0,-0.7,-0.1,0.0000,0.0000,-0.0004,0.0002,0,0,110,130,0.0014,0.0019,-0.0003,0.0007
3384,0.003,0.000,-1.000,0.8,-0.1,0.0,0.0000,0.0000,-0.0004,0.0002,0,0,110,128,0.0002,0.0016,-0.0003,0.0008
3436,-0.008,0.002,-1.001,0.3,-0.0,0.0,0.0000,0.0000,-0.0004,0.0000,0,1,110,124,0.0001,-0.0032,-0.0003,0.0006
3488,-0.003,0.004,-1.003,0.8,-0.4,0.0,0.0000,0.0000,-0.0002,0.0000,-1,0,110,128,0.0046,0.0016,-0.0001,0.0007
3540,-0.003,0.012,-0.997,1.7,-0.0,-0.0,0.0000,0.1936,-0.0002,0.0002,0,-1,110,128,0.0001,0.0070,-0.0000,0.0011
3592,-0.017,-0.008,-1.004,2.1,-0.3,0.0,0.1936,0.0000,0.0000,0.0002,-1,0,110,125,0.0043,0.0041,0.0002,0.0013
3644,0.002,0.010,-0.996,4.2,-0.3,-0.0,0.0000,0.0000,0.0000,0.0002,0,0,110,133,0.0005,0.0080,0.0002,0.0017
3695,0.007,0.004,-0.999,7.0,0.0,0.4,0.0000,0.0000,0.0000,0.0002,0,0,110,137,-0.0001,0.0134,0.0002,0.0024
3746,-0.032,0.026,-0.982,-3.3,1.0,-2.9,0.0000,0.0000,0.0000,0.0002,0,0,110,121,-0.0019,-0.0064,0.0001,0.0021
3797,-0.001,0.007,-1.013,0.4,-0.5,1.7,0.0000,0.0000,0.0000,0.0002,0,0,110,123,0.0010,0.0008,0.0002,0.0021
3848,0.002,0.050,-1.000,-2.8,0.2,6.2,0.0000,0.0000,-0.0002,0.0002,1,0,110,129,-0.0042,-0.0054,-0.0001,0.0018
3899,-0.015,0.034,-1.023,-1.4,-0.4,4.9,0.0000,0.0000,-0.0002,0.0008,0,-3,110,131,0.0007,0.0087,-0.0000,0.0023
3950,-0.004,0.025,-1.010,1.1,-1.6,-2.5,0.1936,0.0000,0.0000,0.0004,-1,2,110,126,0.0068,-0.0055,0.0003,0.0020
4001,-0.005,0.019,-1.025,-1.1,-0.5,-5.7,0.0000,0.0000,0.0000,0.0008,0,-2,110,134,0.0010,0.0054,0.0004,0.0023
4052,-0.005,-0.018,-1.009,1.5,-2.7,0.7,0.0000,0.0000,0.0000,0.0002,0,3,110,131,0.0052,-0.0084,0.0006,0.0018
4103,-0.006,0.035,-1.012,-0.5,-0.3,2.7,0.1936,0.0000,0.0004,-0.0000,-2,1,110,135,0.0081,-0.0047,0.0011,0.0016
4155,-0.012,-0.008,-1.004,0.5,0.3,6.6,0.1936,0.0000,0.0008,-0.0000,-2,0,110,122,0.0068,0.0010,0.0014,0.0016
4207,-0.010,-0.015,-0.987,0.4,0.0,2.0,0.1936,0.0000,0.0012,-0.0000,-2,0,110,128,0.0074,0.0007,0.0018,0.0017
4259,-0.009,-0.002,-1.005,-0.6,-0.3,3.1,0.0000,0.0000,0.0012,0.0015,0,-8,110,124,0.0006,0.0287,0.0018,0.0032
4310,-0.007,-0.009,-1.004,-0.1,0.4,2.0,0.1760,0.0000,0.0008,0.0031,2,-8,100,131,-0.0077,0.0275,0.0014,0.0046
4361,-0.008,-0.024,-0.993,-0.5,-0.0,4.9,0.1760,0.0000,0.0015,0.0032,-4,-1,100,136,0.0138,0.0026,0.0021,0.0047
4412,-0.006,-0.013,-0.998,-1.6,-0.1,1.5,0.0000,0.1936,0.0018,0.0048,-2,-8,110,127,0.0077,0.0274,0.0025,0.0061
4463,-0.005,-0.029,-0.986,-0.5,-0.9,-1.3,0.0000,0.0000,0.0020,0.0050,-1,-1,110,125,0.0055,0.0029,0.0028,0.0062
4514,-0.002,0.008,-0.989,1.5,-1.3,-6.6,0.0000,-0.1936,0.0039,0.0046,-10,2,110,132,0.0405,-0.0047,0.0049,0.0060
4565,0.007,0.015,-0.985,-0.2,1.0,-5.8,0.0000,0.0000,0.0039,0.0055,0,-5,110,121,-0.0019,0.0186,0.0048,0.0070
4616,-0.036,-0.005,-0.974,0.5,0.4,-3.1,-0.1936,0.0000,0.0037,0.0057,1,-1,110,126,-0.0046,0.0047,0.0045,0.0072
4667,-0.001,-0.057,-1.018,3.0,-0.7,-2.4,0.0000,0.0000,0.0032,0.0058,3,0,100,122,-0.0091,0.0052,0.0041,0.0075
