timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality,comp_vx,comp_vy,comp_px,comp_py
3117,-0.007,0.002,-0.998,-0.3,0.5,0.2,0.0000,0.1936,0.0000,0.0004,0,-2,110,133,-0.0009,0.0072,-0.0000,0.0004
3176,-0.010,-0.011,-0.995,0.8,-0.5,-0.1,0.0000,0.0000,0.0000,0.0004,0,0,110,132,0.0010,0.0015,0.0000,0.0004
3228,0.020,0.003,-1.018,1.1,-1.0,0.0,0.0000,-0.1936,0.0000,0.0002,0,1,110,125,0.0019,-0.0017,0.0001,0.0004
3280,0.014,0.011,-0.994,0.0,0.3,0.2,0.0000,0.0000,0.0000,0.0002,0,0,110,135,-0.0005,0.0000,0.0001,0.0004
3332,-0.008,-0.002,-0.997,-0.5,0.8,0.0,0.0000,0.0000,0.0000,0.0004,0,-1,110,127,-0.0016,0.0029,0.0000,0.0005
3384,-0.012,-0.009,-1.007,0.8,-0.6,-0.1,0.0000,0.0000,0.0000,0.0004,0,0,110,129,0.0012,0.0016,0.0001,0.0006
3436,-0.002,0.022,-0.998,0.6,-0.0,0.1,0.0000,0.0000,0.0000,0.0006,0,-1,110,131,0.0000,0.0049,0.0001,0.0008
3487,-0.003,-0.011,-1.005,1.0,0.2,0.2,0.0000,0.0000,0.0000,0.0006,0,0,100,134,-0.0003,0.0017,0.0001,0.0009
3538,0.007,0.010,-1.000,2.9,-0.2,0.4,0.0000,0.0000,0.0000,0.0008,0,-1,110,126,0.0003,0.0094,0.0001,0.0014
3589,0.006,-0.012,-1.001,3.2,0.6,0.8,0.0000,0.0000,0.0000,0.0004,0,2,110,131,-0.0011,-0.0015,0.0000,0.0013
3640,0.011,0.022,-0.999,3.5,1.5,0.8,0.0000,0.0000,0.0000,0.0008,0,-2,110,131,-0.0030,0.0143,-0.0001,0.0021
3691,-0.017,0.045,-0.983,-2.7,1.9,-0.1,0.0000,0.0000,0.0000,0.0008,0,0,110,126,-0.0036,-0.0051,-0.0003,0.0018
3742,-0.013,0.023,-0.998,-1.0,-0.3,-1.3,0.0000,0.0000,0.0000,0.0010,0,-1,110,126,0.0006,0.0018,-0.0003,0.0019
3793,0.001,0.025,-0.998,0.7,0.4,1.3,0.0000,0.0000,0.0000,0.0010,0,0,110,134,-0.0007,0.0013,-0.0003,0.0020
3844,-0.006,0.036,-0.994,-0.5,0.8,6.9,0.0000,0.0000,0.0000,0.0008,0,1,110,136,-0.0016,-0.0047,-0.0004,0.0017
3895,-0.003,0.017,-0.983,-1.1,1.5,7.4,0.0000,0.0000,0.0000,0.0009,0,-1,100,128,-0.0026,0.0015,-0.0005,0.0018
3946,-0.007,0.004,-1.014,0.4,-0.5,4.4,0.0000,0.0000,0.0000,0.0009,0,0,100,139,0.0009,0.0007,-0.0005,0.0018
3997,-0.007,-0.022,-1.006,1.1,-0.3,4.8,0.0000,-0.1760,0.0000,0.0008,0,1,100,131,0.0005,-0.0015,-0.0005,0.0018
4048,0.009,-0.000,-1.005,-0.8,0.4,1.9,0.0000,-0.3872,0.0002,-0.0002,-1,5,110,135,0.0031,-0.0206,-0.0003,0.0007
4100,-0.014,0.002,-0.989,-0.7,-0.2,-2.7,0.0000,0.1936,0.0002,0.0014,0,-8,110,128,0.0004,0.0284,-0.0003,0.0022
4151,-0.004,-0.010,-1.017,1.1,-0.1,-2.1,0.0000,-0.1936,0.0002,0.0016,0,-1,110,128,0.0003,0.0060,-0.0003,0.0025
4202,-0.001,-0.001,-0.978,0.4,0.0,-3.5,0.0000,0.0000,0.0004,0.0014,-1,1,110,124,0.0038,-0.0030,-0.0001,0.0023
4253,0.007,-0.033,-1.008,0.7,0.3,-4.5,0.1936,0.3872,0.0006,0.0025,-1,-6,110,131,0.0033,0.0242,0.0001,0.0036
4304,-0.001,-0.017,-1.019,-0.5,-0.7,-0.7,0.0000,0.0000,0.0009,0.0036,-2,-6,100,136,0.0081,0.0199,0.0005,0.0046
4355,-0.005,0.002,-0.999,-0.3,0.4,1.2,0.0000,0.1760,0.0009,0.0049,0,-7,100,126,-0.0008,0.0236,0.0005,0.0058
4406,0.017,-0.043,-0.983,-0.9,-1.0,1.3,0.1760,0.3520,0.0013,0.0052,-2,-2,100,129,0.0087,0.0053,0.0009,0.0061
4457,0.014,-0.032,-1.000,0.1,-0.5,1.1,0.0000,0.0000,0.0016,0.0058,-2,-3,110,130,0.0085,0.0116,0.0013,0.0067
4508,0.005,-0.009,-0.975,-0.3,-0.5,1.9,-0.1936,0.0000,0.0014,0.0062,1,-2,110,129,-0.0028,0.0071,0.0012,0.0070
4559,0.013,-0.021,-0.990,0.1,1.3,2.1,0.0000,0.0000,0.0012,0.0064,1,-1,110,133,-0.0062,0.0039,0.0009,0.0072
4610,-0.000,-0.047,-1.002,0.8,0.4,0.5,0.0000,0.0000,0.0016,0.0064,-2,0,110,134,0.0068,0.0014,0.0012,0.0073
4661,-0.021,-0.011,-0.990,0.7,0.0,-0.7,0.0000,0.0000,0.0011,0.0064,3,0,110,125,-0.0114,0.0013,0.0006,0.0074
4713,-0.023,-0.008,-0.981,-0.8,0.3,-1.2,0.0000,0.0000,0.0005,0.0062,3,1,100,121,-0.0107,-0.0047,0.0001,0.0071
4765,-0.011,-0.027,-1.010,-0.7,0.3,0.3,0.0000,0.0000,0.0007,0.0065,-1,-2,100,127,0.0029,0.0056,0.0002,0.0074
4816,0.003,-0.051,-1.000,1.0,-2.5,-2.5,0.0000,0.0000,0.0010,0.0064,-2,1,100,121,0.0113,-0.0018,0.0008,0.0073
4867,0.016,-0.022,-1.010,-0.1,-0.2,-4.2,0.1936,-0.1936,0.0019,0.0116,-5,-30,110,127,0.0193,0.1137,0.0018,0.0131
4918,0.002,0.009,-0.999,-1.1,0.9,-3.4,0.0000,0.0000,0.0019,0.0120,0,-2,110,141,-0.0017,0.0055,0.0017,0.0134
4969,-0.004,0.001,-1.002,-0.7,0.3,-3.6,0.0000,0.0000,0.0021,0.0120,-1,0,110,137,0.0032,-0.0012,0.0019,0.0133
5020,-0.012,0.012,-0.999,-0.5,0.4,0.6,-0.1936,0.0000,0.0019,0.0120,1,0,110,124,-0.0046,-0.0009,0.0016,0.0133
5071,-0.000,-0.028,-1.007,0.2,0.3,1.3,0.0000,0.0000,0.0021,0.0120,-1,0,110,132,0.0032,0.0005,0.0018,0.0133
5122,-0.011,-0.018,-1.010,0.2,-0.8,-2.6,0.1936,0.0000,0.0023,0.0120,-1,0,110,137,0.0054,0.0004,0.0021,0.0133
5173,-0.006,-0.025,-0.991,0.3,-0.8,-2.4,-0.1936,0.0000,0.0017,0.0120,3,0,110,126,-0.0098,0.0006,0.0016,0.0134
5224,0.003,-0.006,-0.996,-1.4,0.8,-0.1,0.0000,0.0000,0.0021,0.0120,-2,0,110,134,0.0061,-0.0026,0.0019,0.0132
5275,0.005,0.011,-0.999,0.8,-0.3,0.0,0.0000,0.0000,0.0023,0.0122,-1,-1,110,135,0.0044,0.0052,0.0021,0.0135
5326,0.008,-0.018,-0.986,-0.6,1.7,-0.1,0.0000,0.0000,0.0023,0.0124,0,-1,110,126,-0.0032,0.0026,0.0019,0.0136
5377,-0.098,0.059,-0.992,-14.6,7.4,-1.5,0.1936,0.1936,0.0019,0.0124,2,0,110,123,-0.0218,-0.0280,0.0008,0.0122
5428,-0.059,0.023,-1.027,14.8,-5.4,-1.0,0.0000,0.0000,0.0023,0.0126,-2,-1,110,129,0.0179,0.0323,0.0017,0.0138
5479,0.003,-0.122,-1.011,4.0,-1.4,-0.2,0.0000,0.0000,0.0021,0.0124,1,1,110,121,-0.0012,0.0039,0.0017,0.0140
5531,0.040,0.036,-0.982,-10.4,5.0,0.6,0.1936,0.1936,0.0023,0.0124,-1,0,110,132,-0.0060,-0.0199,0.0014,0.0130
5583,-0.004,0.049,-0.989,3.9,-0.1,0.1,0.0000,0.0000,0.0023,0.0124,0,0,110,129,0.0002,0.0075,0.0014,0.0134
5635,-0.004,-0.056,-1.006,3.0,-1.3,-0.1,-0.1936,0.0000,0.0021,0.0120,1,2,110,125,-0.0012,-0.0018,0.0013,0.0133
5687,0.006,0.012,-0.998,-3.9,1.2,0.1,0.0000,0.0000,0.0017,0.0120,2,0,110,135,-0.0098,-0.0074,0.0008,0.0129
5739,-0.005,0.012,-0.995,2.2,-0.1,0.1,0.0000,0.1936,0.0023,0.0124,-3,-2,110,126,0.0113,0.0118,0.0014,0.0135
5791,-0.008,-0.031,-1.006,0.5,-0.4,-0.1,0.0000,0.0000,0.0023,0.0126,0,-1,110,118,0.0008,0.0048,0.0014,0.0138
5843,0.003,0.011,-1.000,-1.1,0.1,-0.0,-0.1936,0.0000,0.0015,0.0124,4,1,110,117,-0.0151,-0.0059,0.0007,0.0135
5895,0.001,-0.007,-1.000,1.5,-0.1,0.1,0.0000,0.0000,0.0023,0.0126,-4,-1,110,132,0.0150,0.0065,0.0014,0.0138
5947,0.002,-0.009,-1.000,-0.5,0.4,0.1,0.0000,0.0000,0.0023,0.0128,0,-1,110,119,-0.0008,0.0027,0.0014,0.0140
5999,0.000,0.007,-0.995,0.2,-0.1,-0.1,-0.3872,0.0000,0.0012,0.0124,6,2,110,122,-0.0222,-0.0071,0.0002,0.0136
6051,-0.002,-0.009,-1.003,0.6,-0.2,0.0,0.0000,0.0000,0.0017,0.0124,-3,0,110,130,0.0115,0.0012,0.0008,0.0136
6103,0.001,0.001,-0.998,-0.3,0.1,-0.0,0.0000,0.0000,0.0025,0.0126,-4,-1,110,130,0.0146,0.0031,0.0016,0.0138
