timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality,comp_vx,comp_vy,comp_px,comp_py
3117,0.002,0.007,-1.004,-0.0,-0.2,-0.3,0.0000,0.0000,0.0014,0.0000,-1,0,110,125,0.0288,-0.0000,0.0014,-0.0000
3176,-0.002,0.004,-0.999,0.1,-0.3,-0.2,0.0000,0.0000,0.0014,0.0000,0,0,100,117,0.0005,0.0002,0.0015,0.0000
3228,-0.001,-0.002,-1.003,0.5,-0.4,-0.0,0.0000,0.0000,0.0014,0.0000,0,0,100,128,0.0008,0.0009,0.0015,0.0001
3280,0.002,0.003,-1.002,0.0,-0.2,0.0,0.0000,0.0000,0.0014,0.0000,0,0,100,122,0.0004,0.0000,0.0015,0.0001
3332,0.002,0.004,-0.998,-0.5,0.3,0.2,0.0000,0.0000,0.0014,0.0000,0,0,110,125,-0.0006,-0.0011,0.0015,0.0000
3384,0.000,-0.001,-1.004,0.5,-0.2,-0.0,0.0000,0.0000,0.0014,0.0014,0,-1,110,126,0.0005,0.0283,0.0015,0.0015
3436,-0.002,0.004,-1.001,-0.2,-0.5,-0.0,0.0000,0.0000,0.0014,0.0014,0,0,110,117,0.0009,-0.0004,0.0016,0.0015
3487,0.007,0.017,-1.000,0.9,0.1,-0.1,0.0000,0.0000,0.0014,0.0014,0,0,110,113,-0.0002,0.0016,0.0016,0.0015
3538,-0.006,0.002,-1.000,0.9,0.2,0.2,0.0000,0.0000,0.0014,0.0014,0,0,110,125,-0.0004,0.0017,0.0015,0.0016
3589,-0.009,-0.008,-1.002,-1.4,0.1,-0.0,0.0000,0.0000,0.0014,0.0014,0,0,110,122,-0.0001,-0.0028,0.0015,0.0015
3641,0.005,0.034,-0.999,0.5,-0.2,-0.1,-1.4234,0.0000,0.0000,0.0014,1,0,110,109,-0.0270,0.0010,0.0001,0.0015
3692,-0.011,0.005,-0.995,0.6,0.2,-2.2,0.0000,0.0000,0.0000,0.0014,0,0,110,124,-0.0003,0.0011,0.0001,0.0016
3743,-0.022,0.033,-1.009,-0.2,-1.4,0.4,0.0000,0.0000,0.0000,0.0000,0,1,110,131,0.0027,-0.0284,0.0002,0.0001
3794,0.002,0.038,-0.987,-0.2,-1.2,5.9,0.0000,0.0000,0.0000,0.0000,0,0,110,123,0.0023,-0.0004,0.0004,0.0001
3845,0.006,0.038,-1.002,0.0,0.4,4.7,0.0000,0.0000,0.0000,0.0000,0,0,110,110,-0.0008,0.0000,0.0003,0.0001
3897,0.003,-0.005,-1.007,2.2,-0.8,5.0,0.0000,0.0000,0.0000,0.0000,0,0,110,125,0.0015,0.0042,0.0004,0.0003
3948,0.006,0.024,-0.989,2.2,-1.3,0.7,0.0000,0.0000,0.0000,0.0000,0,0,110,124,0.0026,0.0042,0.0005,0.0006
3999,0.004,0.041,-0.983,1.6,0.1,2.2,1.4234,0.0000,0.0014,0.0000,-1,0,110,125,0.0277,0.0032,0.0019,0.0007
4050,-0.004,0.022,-1.029,1.7,1.0,5.6,0.0000,0.0000,0.0014,-0.0014,0,1,110,129,-0.0020,-0.0247,0.0018,-0.0005
4101,-0.001,0.009,-1.017,3.0,-1.2,1.4,0.0000,-1.4234,-0.0014,-0.0071,2,4,110,125,-0.0535,-0.1059,-0.0009,-0.0059
4152,-0.007,0.018,-0.989,0.5,-1.0,2.0,0.0000,-1.4234,-0.0028,-0.0171,1,7,110,125,-0.0260,-0.1945,-0.0022,-0.0159
4203,-0.001,0.020,-1.004,0.2,-0.4,-1.4,0.0000,0.0000,-0.0016,-0.0119,-1,-4,100,126,0.0260,0.1019,-0.0009,-0.0107
4254,0.009,-0.025,-1.021,0.4,-0.0,0.5,1.4234,2.8468,0.0012,-0.0091,-2,-2,110,128,0.0559,0.0565,0.0020,-0.0078
4305,-0.016,-0.042,-1.002,-1.8,-0.3,7.4,0.0000,2.8468,0.0069,0.0009,-4,-7,110,122,0.1122,0.1919,0.0077,0.0020
4356,-0.011,0.043,-0.995,-1.5,0.0,16.7,0.0000,0.0000,0.0069,0.0066,0,-4,110,122,-0.0001,0.1087,0.0077,0.0075
4407,-0.016,-0.028,-0.981,-0.6,-0.4,11.1,0.0000,4.2702,0.0097,0.0109,-2,-3,110,128,0.0565,0.0826,0.0106,0.0118
4458,-0.008,-0.026,-1.039,1.0,-1.3,5.4,1.4234,2.8468,0.0126,0.0180,-2,-5,110,129,0.0583,0.1414,0.0135,0.0190
4509,-0.004,-0.002,-0.986,-0.3,-0.5,0.9,0.0000,0.0000,0.0154,0.0294,-2,-8,110,120,0.0569,0.2226,0.0164,0.0303
4560,0.023,-0.038,-1.005,0.8,-0.3,-5.1,0.0000,0.0000,0.0154,0.0294,0,0,110,135,0.0005,0.0015,0.0165,0.0304
4611,0.004,-0.015,-1.010,-0.1,-0.1,-1.5,-1.4234,0.0000,0.0140,0.0308,1,-1,110,123,-0.0277,0.0276,0.0150,0.0318
4662,-0.011,-0.014,-0.996,-0.2,0.2,-1.4,0.0000,0.0000,0.0097,0.0294,3,1,110,122,-0.0841,-0.0283,0.0108,0.0304
4713,-0.004,-0.034,-0.994,1.3,0.4,1.0,0.0000,0.0000,0.0138,0.0308,-3,-1,100,122,0.0754,0.0277,0.0146,0.0318
4764,-0.022,-0.019,-0.989,0.1,0.6,3.7,0.0000,1.2940,0.0138,0.0373,0,-5,100,127,-0.0010,0.1271,0.0146,0.0383
4815,-0.001,-0.044,-1.000,0.6,0.3,1.5,0.0000,0.0000,0.0151,0.0399,-1,-2,110,116,0.0273,0.0570,0.0160,0.0412
4866,-0.011,-0.021,-1.011,-0.9,0.4,-0.6,1.4234,4.2702,0.0180,0.0470,-2,-5,110,122,0.0550,0.1379,0.0188,0.0482
4917,-0.004,-0.031,-0.997,0.8,-0.5,-1.3,0.0000,0.0000,0.0166,0.0470,1,0,110,132,-0.0270,0.0016,0.0174,0.0483
4968,0.012,-0.004,-0.991,-1.5,1.7,3.8,-1.4234,0.0000,0.0151,0.0484,1,-1,110,125,-0.0312,0.0250,0.0158,0.0496
5019,-0.001,0.003,-0.999,-2.0,1.2,0.7,0.0000,0.0000,0.0180,0.0470,-2,1,110,131,0.0535,-0.0316,0.0185,0.0479
5070,-0.013,-0.000,-1.007,-1.0,0.1,0.0,-1.4234,0.0000,0.0166,0.0455,1,1,110,131,-0.0282,-0.0299,0.0171,0.0464
5121,-0.004,-0.010,-1.000,0.6,-0.8,-0.1,0.0000,0.0000,0.0166,0.0455,0,0,110,120,0.0015,0.0012,0.0172,0.0465
5172,0.000,0.023,-1.002,0.8,0.2,0.1,0.0000,0.0000,0.0166,0.0470,0,-1,110,133,-0.0003,0.0294,0.0171,0.0480
5223,0.003,-0.012,-1.009,1.4,-0.6,-0.1,-1.4234,0.0000,0.0180,0.0512,-1,-3,110,132,0.0291,0.0864,0.0186,0.0524
5274,-0.013,-0.004,-1.006,0.0,-0.5,-0.0,0.0000,0.0000,0.0151,0.0498,2,1,110,118,-0.0549,-0.0278,0.0158,0.0510
5325,-0.018,0.000,-1.005,1.0,-1.0,-0.1,0.0000,1.4234,0.0137,0.0498,1,0,110,128,-0.0260,0.0019,0.0145,0.0511
5376,-0.002,0.002,-0.999,1.3,-0.8,-0.2,0.0000,0.0000,0.0151,0.0498,-1,0,110,118,0.0295,0.0024,0.0160,0.0512
5427,0.006,0.002,-0.995,0.1,-0.3,-0.0,0.0000,-1.4234,0.0180,0.0484,-2,1,110,116,0.0563,-0.0276,0.0189,0.0498
5478,-0.003,0.002,-1.001,-0.5,0.3,0.0,0.0000,2.8468,0.0151,0.0541,2,-4,110,129,-0.0563,0.1107,0.0160,0.0554
5529,-0.004,0.004,-0.999,0.2,0.1,0.2,0.0000,0.0000,0.0180,0.0584,-2,-3,110,130,0.0557,0.0841,0.0188,0.0597
5581,0.001,0.004,-1.000,0.9,0.3,0.2,0.0000,0.0000,0.0180,0.0569,0,1,110,127,-0.0006,-0.0256,0.0188,0.0584
5633,-0.004,0.004,-1.004,1.3,1.1,0.4,0.0000,0.0000,0.0151,0.0569,2,0,110,130,-0.0569,0.0025,0.0159,0.0585
5685,0.003,-0.058,-1.002,-0.5,1.2,0.1,0.0000,-2.8468,0.0151,0.0584,0,-1,110,125,-0.0022,0.0263,0.0157,0.0599
5737,0.001,0.018,-0.996,-3.4,5.3,-0.6,-1.4234,0.0000,0.0137,0.0598,1,-1,110,118,-0.0376,0.0209,0.0138,0.0610
5789,0.114,0.105,-0.908,3.1,8.1,5.2,2.8468,0.0000,0.0151,0.0584,-1,1,110,129,0.0119,-0.0215,0.0144,0.0599
5841,-0.078,-0.089,-0.944,6.5,-11.0,3.7,1.4234,2.8468,0.0166,0.0598,-1,-1,110,127,0.0485,0.0399,0.0169,0.0619
5893,0.122,0.007,-0.986,-9.0,8.5,1.1,0.0000,0.0000,0.0166,0.0612,0,-1,110,124,-0.0163,0.0101,0.0161,0.0625
5945,-0.013,0.027,-1.007,4.0,0.9,0.0,-1.4234,2.8468,0.0066,0.0669,7,-4,110,133,-0.1934,0.1172,0.0060,0.0685
5997,-0.028,-0.049,-1.008,1.2,-2.7,-0.3,0.0000,0.0000,0.0066,0.0683,0,-1,110,132,0.0051,0.0296,0.0063,0.0701
6049,0.019,0.028,-0.986,-1.2,-0.8,-0.1,0.0000,0.0000,0.0066,0.0683,0,0,110,133,0.0015,-0.0023,0.0064,0.0700
6101,0.008,-0.011,-0.995,2.0,0.1,0.5,0.0000,0.0000,0.0052,0.0683,1,0,110,116,-0.0275,0.0038,0.0049,0.0702
6153,-0.003,-0.009,-1.002,-1.5,1.5,0.2,0.0000,0.0000,0.0052,0.0669,0,1,110,130,-0.0029,-0.0302,0.0048,0.0686
6205,-0.008,0.005,-1.006,1.2,-0.1,-0.1,0.0000,0.0000,0.0052,0.0669,0,0,110,128,0.0002,0.0023,0.0048,0.0687
6257,-0.010,-0.017,-1.005,0.0,-0.1,0.2,0.0000,0.0000,0.0052,0.0669,0,0,110,121,0.0002,0.0001,0.0048,0.0687
6309,-0.002,0.005,-0.987,0.1,-0.1,0.1,0.0000,0.0000,0.0052,0.0669,0,0,110,120,0.0003,0.0002,0.0048,0.0687
6361,-0.004,-0.013,-1.002,0.7,-0.2,0.0,0.0000,0.0000,0.0052,0.0669,0,0,110,129,0.0003,0.0013,0.0048,0.0688
6413,-0.000,0.004,-1.002,-0.2,0.3,0.1,0.0000,0.0000,0.0052,0.0669,0,0,110,130,-0.0006,-0.0003,0.0048,0.0688
6465,-0.003,-0.001,-0.998,0.6,-0.1,0.1,0.0000,0.0000,0.0052,0.0669,0,0,110,127,0.0001,0.0011,0.0048,0.0688
6517,-0.006,-0.006,-1.002,-0.0,0.2,0.1,0.0000,0.0000,0.0052,0.0669,0,0,110,133,-0.0003,-0.0001,0.0048,0.0688
6569,-0.001,-0.004,-1.000,0.5,-0.2,0.0,0.0000,0.0000,0.0066,0.0669,-1,0,110,134,0.0277,0.0009,0.0062,0.0689
