timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,0.001,0.005,-1.008,-0.0,0.3,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,100,112
3170,0.007,0.002,-0.995,-0.0,-0.0,0.2,0.0000,-0.1936,0.0000,-0.0002,0,1,110,111
3221,0.007,-0.000,-1.011,-0.0,0.2,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,118
3272,0.003,-0.003,-0.999,0.0,0.1,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,107
3323,0.000,0.001,-1.004,-0.1,0.1,0.1,0.0000,0.0000,-0.0002,-0.0002,0,0,110,114
3374,-0.002,0.000,-0.997,0.0,0.0,0.0,0.0000,0.0000,-0.0002,-0.0002,0,0,110,117
3425,0.001,0.003,-0.998,-0.1,-0.0,0.2,-0.1936,0.0000,-0.0004,-0.0002,1,0,110,107
3476,-0.002,0.003,-1.002,-0.2,0.1,0.0,0.0000,0.0000,-0.0004,-0.0004,0,0,110,106
3527,-0.001,0.001,-0.993,0.1,-0.0,0.0,0.0000,0.0000,-0.0002,-0.0002,0,0,110,110
3578,0.002,0.002,-1.003,-0.0,0.0,-0.1,0.0000,0.0000,-0.0002,-0.0002,0,0,110,108
3629,-0.008,-0.002,-1.004,0.1,-0.7,-0.1,0.0000,0.0000,-0.0004,-0.0004,0,0,110,113
3680,0.005,-0.008,-0.995,-0.9,0.3,-0.4,0.0000,0.0000,-0.0004,-0.0004,0,0,100,116
3731,0.019,0.017,-0.999,0.2,0.5,0.5,0.0000,0.0000,-0.0004,-0.0004,0,0,100,114
3782,-0.037,-0.009,-0.985,7.1,-5.3,-0.9,0.0000,-0.1760,-0.0004,-0.0006,0,1,100,109
3833,0.037,-0.055,-1.009,-6.0,3.7,1.4,0.0000,0.0000,-0.0004,-0.0002,0,0,110,117
3884,-0.035,0.026,-1.008,-2.3,-1.3,0.1,0.0000,0.0000,-0.0004,-0.0002,0,0,110,108
3935,0.009,-0.052,-1.003,-0.3,-1.3,-0.1,0.0000,0.0000,-0.0004,-0.0002,0,0,100,109
3986,0.023,0.036,-0.992,-1.8,1.4,0.4,0.0000,0.0000,-0.0004,-0.0000,0,0,100,114
4037,-0.000,0.016,-0.999,-3.0,3.2,1.0,0.0000,0.1760,-0.0004,-0.0002,0,-1,100,115
4088,-0.009,0.013,-1.019,10.4,-1.2,0.0,0.0000,0.1936,-0.0004,0.0002,0,-1,110,106
4139,-0.041,-0.015,-1.018,4.2,-0.8,-0.5,0.0000,0.0000,-0.0004,0.0002,0,0,110,112
4190,-0.075,0.036,-1.013,-1.6,-3.3,7.2,0.0000,0.0000,-0.0004,0.0004,0,0,110,103
4241,0.019,0.101,-1.018,-4.5,-1.0,15.7,0.0000,0.0000,-0.0004,0.0002,0,0,100,112
4292,0.027,0.091,-1.021,-1.7,2.8,20.0,0.0000,0.0000,-0.0004,-0.0002,0,0,100,120
4343,0.018,0.064,-1.005,-3.9,1.9,18.9,0.0000,0.0000,-0.0006,0.0002,0,0,110,110
4394,0.028,0.065,-1.008,1.1,0.6,7.9,0.0000,0.0000,-0.0006,0.0002,0,0,110,111
4445,0.037,0.007,-1.027,-3.1,-0.3,3.5,0.0000,-0.1936,-0.0006,-0.0002,0,1,110,112
4496,-0.025,0.049,-1.014,-1.2,-1.7,0.4,0.0000,-0.1936,-0.0004,-0.0004,0,1,110,116
4548,-0.016,-0.003,-0.989,-0.7,-0.4,-8.2,0.1936,0.5808,0.0006,0.0010,-1,-3,110,114
4600,-0.034,-0.067,-1.020,5.1,-3.4,-3.3,0.0000,-0.1936,0.0014,0.0014,0,1,110,109
