timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,-0.004,0.001,-0.998,-0.4,1.0,-0.3,2.5344,0.0000,0.0114,0.0013,-2,0,720,62
3170,0.001,-0.001,-0.995,-0.3,0.8,-0.2,1.2672,0.0000,0.0165,0.0013,-1,0,720,65
3221,-0.000,-0.003,-1.000,0.1,-0.8,0.1,0.0000,1.2672,0.0190,0.0025,0,-1,720,53
3272,-0.004,0.001,-1.003,-0.1,-0.1,0.1,0.0000,0.0000,0.0190,0.0025,0,0,720,60
3323,-0.004,-0.001,-1.004,-0.1,0.1,-0.1,0.0000,0.0000,0.0190,0.0025,0,0,720,66
3374,-0.001,-0.004,-0.997,0.3,-1.9,0.6,0.0000,0.0000,0.0190,0.0025,0,0,720,57
3425,-0.004,-0.001,-1.005,0.1,-2.1,0.8,0.0000,0.0000,0.0190,0.0025,0,0,720,65
3476,-0.000,-0.002,-0.997,-0.5,-1.3,0.3,0.0000,0.0000,0.0203,0.0025,0,0,720,62
3527,-0.010,-0.003,-1.004,0.3,0.8,-0.1,0.0000,0.0000,0.0203,0.0025,0,0,720,59
3578,-0.050,0.041,-1.033,4.3,4.5,2.8,0.0000,0.0000,0.0203,0.0025,0,0,720,63
3629,0.030,-0.014,-1.021,-0.7,15.4,7.3,0.0000,0.0000,0.0203,0.0025,0,0,720,69
3680,0.030,0.016,-0.961,-0.3,9.7,5.0,0.0000,0.0000,0.0203,0.0025,0,0,720,65
3731,0.013,0.113,-0.977,0.3,0.3,4.7,0.0000,0.0000,0.0203,0.0025,0,0,720,61
3782,0.047,0.030,-1.010,-2.0,-1.7,4.9,0.0000,0.0000,0.0203,0.0013,0,0,720,65
3833,-0.005,0.003,-1.033,-0.9,-12.0,-0.8,0.0000,0.0000,0.0203,0.0013,0,0,720,51
3884,0.032,0.168,-1.002,-0.7,-4.8,5.0,0.0000,0.0000,0.0203,0.0013,0,0,720,67
3935,0.025,0.139,-0.916,-2.8,2.8,13.0,0.0000,0.0000,0.0152,0.0025,0,0,720,59
3986,0.074,0.149,-0.882,-5.5,5.7,13.9,0.0000,0.0000,0.0152,0.0038,0,0,720,64
4037,-0.039,0.022,-1.005,3.2,-7.5,14.7,0.0000,0.0000,0.0127,0.0025,0,0,720,60
4088,0.121,0.008,-0.934,-5.0,6.6,20.0,0.0000,0.0000,0.0139,0.0013,0,0,720,59
4139,-0.022,-0.047,-1.015,-3.9,10.5,12.6,1.2672,0.0000,0.0165,0.0013,-1,0,720,58
4190,0.034,0.097,-0.934,-4.0,8.4,3.7,-1.2672,0.0000,0.0152,0.0000,1,0,720,56
4241,0.134,0.082,-1.010,-2.3,9.2,-24.8,1.2672,0.0000,0.0152,-0.0013,-1,0,720,61
4292,-0.097,-0.205,-1.137,4.7,-2.6,-24.3,0.0000,1.1088,0.0127,-0.0002,0,-1,630,66
4343,0.005,-0.127,-0.972,2.2,4.8,3.6,0.0000,0.0000,0.0116,-0.0024,0,0,630,46
4394,0.028,-0.072,-0.960,-0.5,6.2,-2.6,-0.6160,0.0000,0.0109,-0.0030,1,0,350,69
4445,0.013,-0.066,-0.983,1.5,6.0,3.2,-1.8480,0.6160,0.0073,0.0001,3,-1,350,73
4496,0.066,-0.032,-0.988,2.7,1.4,-0.3,0.0000,0.0000,0.0029,-0.0011,0,0,350,41
4548,0.052,-0.008,-0.991,-0.9,3.3,-1.5,-0.3520,0.0000,0.0012,-0.0029,1,0,200,67
4600,0.040,0.007,-1.003,-0.1,-0.0,-0.4,1.0560,0.3520,0.0029,0.0003,-3,-1,200,74
4652,0.044,-0.009,-1.001,0.3,1.3,-0.3,-0.3520,-0.3520,-0.0027,-0.0001,1,1,200,40
4704,0.049,-0.001,-0.993,-0.2,-0.6,-2.3,0.0000,0.0000,-0.0037,-0.0008,0,0,180,73
4756,0.049,-0.003,-1.004,0.5,-0.4,-0.5,0.0000,0.0000,-0.0031,-0.0008,0,0,180,80
4808,0.055,-0.006,-0.989,0.1,0.7,-0.5,-0.2992,0.0000,-0.0040,-0.0008,1,0,170,34
4860,0.055,-0.006,-0.991,-0.3,-1.4,-0.0,0.0000,0.2992,-0.0046,-0.0005,0,-1,170,72
4912,0.051,-0.004,-0.996,-0.4,-3.1,-0.2,0.0000,-0.3168,-0.0043,-0.0008,0,1,180,74
4964,0.045,0.002,-0.983,-0.5,-6.9,-0.0,0.0000,0.0000,-0.0043,-0.0008,0,0,170,39
5016,0.031,-0.009,-1.002,-0.2,-6.8,0.9,0.0000,0.0000,-0.0046,-0.0005,0,0,170,39
5068,0.029,-0.004,-1.015,-0.2,0.3,-0.7,0.3168,0.3168,-0.0046,-0.0008,-1,-1,180,78
5120,0.043,0.011,-0.984,-1.3,7.7,1.3,-0.3168,0.0000,-0.0046,-0.0011,1,0,180,80
5172,0.048,-0.015,-0.994,-2.4,4.1,3.4,0.0000,0.0000,-0.0046,-0.0008,0,0,180,36
5223,0.051,-0.014,-1.017,-1.6,5.2,0.4,0.0000,-0.3168,-0.0046,-0.0011,0,1,180,76
5275,0.064,0.007,-0.988,-4.2,7.5,-1.9,0.0000,0.0000,-0.0036,-0.0011,0,0,180,80
5326,0.046,0.009,-1.010,-2.9,1.5,-1.8,-0.3168,0.0000,-0.0036,-0.0011,1,0,180,78
5378,0.054,0.018,-0.983,-1.6,-2.8,-0.9,0.0000,0.0000,-0.0043,-0.0011,0,0,180,80
5429,0.043,0.018,-0.996,-2.6,-6.3,1.7,0.0000,0.0000,-0.0046,-0.0011,0,0,180,72
5480,0.037,0.010,-1.011,-2.7,-1.4,2.4,0.0000,0.0000,-0.0046,-0.0008,0,0,180,39
5531,0.047,0.012,-0.991,-0.2,2.4,-0.7,0.0000,0.0000,-0.0049,-0.0011,0,0,190,78
5582,0.051,0.014,-1.008,0.1,3.3,-0.8,0.0000,0.0000,-0.0052,-0.0011,0,0,190,82
5633,0.053,0.009,-0.996,-0.2,5.3,0.1,0.0000,0.0000,-0.0049,-0.0011,0,0,190,83
5684,0.069,0.021,-0.987,-3.0,5.7,1.2,0.6688,0.0000,-0.0046,-0.0015,-2,0,190,70
