timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,-0.003,0.002,-1.001,0.2,-0.9,0.4,-1.1968,0.0000,-0.0036,0.0000,3,0,680,69
3170,-0.010,-0.006,-1.004,0.0,-1.5,-0.0,1.2144,0.0000,-0.0036,0.0000,0,0,690,62
3221,-0.002,-0.004,-1.004,0.1,-0.6,0.6,0.0000,0.0000,-0.0011,0.0000,-2,0,690,67
3272,-0.001,0.000,-1.001,-0.3,1.0,-0.1,0.0000,0.0000,-0.0024,0.0000,1,0,690,57
3323,0.000,-0.001,-0.998,0.1,0.8,0.2,0.0000,0.0000,-0.0036,0.0000,1,0,690,67
3374,-0.000,-0.001,-1.002,0.0,0.4,0.0,0.0000,0.0000,-0.0024,0.0000,-1,0,710,58
3425,-0.003,0.009,-0.995,0.1,0.8,0.1,0.0000,0.0000,-0.0024,0.0000,0,0,710,52
3476,-0.003,-0.001,-0.995,0.2,0.3,0.2,0.0000,0.0000,-0.0024,0.0000,0,0,720,53
3527,-0.001,0.003,-1.005,-0.0,0.2,0.2,0.0000,0.0000,-0.0024,0.0013,0,-1,720,56
3578,0.002,-0.003,-1.000,0.3,1.2,-0.2,0.0000,-1.2672,-0.0036,-0.0013,1,2,720,58
3629,0.003,0.005,-0.998,0.4,-0.9,0.4,1.2672,0.0000,-0.0024,0.0000,-1,-1,720,58
3680,0.009,-0.003,-1.004,1.1,-0.5,0.5,0.0000,0.0000,-0.0011,0.0000,-1,0,710,59
3731,-0.007,0.024,-1.031,1.9,-0.2,0.4,0.0000,1.2496,-0.0024,0.0000,1,0,710,59
3782,0.051,0.047,-0.962,-0.0,7.3,-6.7,0.0000,0.0000,-0.0036,0.0012,1,-1,710,51
3833,-0.004,0.007,-0.897,5.9,4.4,-7.0,0.0000,0.0000,-0.0024,0.0000,-1,1,710,61
3884,0.019,-0.074,-1.051,-0.0,10.2,0.6,-1.2496,0.0000,-0.0036,0.0000,1,0,710,56
3935,-0.035,-0.083,-0.991,1.3,5.7,1.5,0.0000,0.0000,-0.0023,0.0000,-1,0,720,52
3986,-0.011,-0.078,-1.026,0.5,0.8,5.4,0.0000,0.0000,-0.0023,0.0013,0,-1,720,56
4037,0.002,-0.001,-0.914,-0.2,-1.9,5.8,0.0000,0.0000,-0.0023,0.0013,0,0,720,59
4088,-0.032,-0.009,-1.027,-2.2,-0.1,11.4,0.0000,0.0000,-0.0048,0.0013,2,0,710,59
4139,0.024,0.023,-0.874,-5.3,4.9,22.5,0.0000,0.0000,-0.0061,0.0013,1,0,710,59
4190,0.138,0.126,-1.078,-3.3,10.7,6.1,-1.2496,0.0000,-0.0073,0.0025,1,-1,710,57
4241,0.099,0.051,-1.066,-0.7,-1.0,-0.4,0.0000,0.0000,-0.0086,0.0025,1,0,720,56
4292,-0.047,-0.063,-1.099,-1.3,-3.0,-0.8,2.5344,0.0000,-0.0099,-0.0000,1,2,720,65
4343,-0.009,-0.001,-1.007,1.1,-3.1,-0.4,0.0000,0.0000,-0.0086,-0.0000,-1,0,720,55
4394,0.023,0.057,-1.007,-0.5,3.6,0.2,0.0000,0.0000,-0.0073,-0.0000,-1,0,710,59
