timestamp_ms,ax,ay,az,gx,gy,gz,flow_vx,flow_vy,flow_px,flow_py,flow_raw_x,flow_raw_y,range_mm,quality
3114,0.001,-0.003,-1.006,-0.2,0.3,-0.2,0.0000,0.0000,0.0000,0.0000,0,0,110,140
3170,-0.008,-0.001,-0.998,0.2,-0.4,0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,143
3221,-0.003,-0.002,-1.001,0.4,0.1,-0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,147
3272,0.007,0.001,-0.995,-0.1,-0.2,-0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,143
3323,0.004,-0.013,-0.999,0.4,-0.3,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,137
3374,0.002,0.019,-1.001,-0.5,0.6,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,140
3425,-0.008,0.000,-0.997,0.0,0.2,-0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,145
3476,-0.003,-0.019,-1.000,0.4,-0.3,0.0,0.0000,0.0000,0.0000,0.0000,0,0,110,144
3527,-0.001,0.028,-0.992,2.3,-1.2,0.4,0.0000,0.0000,0.0000,0.0000,0,0,110,148
3578,0.013,-0.004,-1.001,2.1,-0.8,0.1,0.0000,0.0000,0.0000,0.0000,0,0,110,140
3629,-0.038,-0.070,-0.967,-0.6,-0.4,0.4,0.0000,-0.1936,0.0000,-0.0002,0,1,110,140
3680,-0.013,-0.002,-1.004,0.3,-0.5,1.8,0.0000,0.0000,0.0000,-0.0002,0,0,110,143
3731,-0.011,0.029,-1.004,-0.1,0.5,1.3,0.0000,-0.1936,0.0000,-0.0004,0,1,110,140
3782,-0.014,0.014,-1.002,-0.0,-0.2,1.8,0.0000,0.0000,0.0000,-0.0002,0,-1,110,142
3833,0.003,0.001,-1.004,0.9,-0.3,3.2,0.0000,0.0000,0.0000,-0.0002,0,0,110,142
3884,-0.019,-0.022,-1.007,1.6,0.3,0.1,0.0000,0.0000,0.0000,-0.0002,0,0,110,138
3935,-0.001,-0.027,-1.000,-0.0,0.3,-2.9,0.0000,0.0000,0.0000,0.0000,0,-1,110,143
3986,0.003,0.008,-0.986,0.9,0.1,1.0,0.1936,0.7744,0.0004,0.0006,-2,-3,110,141
4037,0.001,0.001,-0.995,0.1,-0.2,0.3,0.0000,0.0000,0.0006,0.0029,-1,-12,110,137
4088,-0.016,0.007,-1.015,1.5,-0.6,1.7,0.0000,-0.1936,0.0010,0.0025,-2,2,110,140
4139,0.019,0.033,-1.006,-0.4,0.2,-2.1,0.0000,0.0000,0.0006,0.0025,2,0,110,139
